latitude,longitude,area_sq_km,capacity_mw,capacity_factor,wind_speed_150meters,landfall_distance_to_transmission_km,bathymetry_meters,distance_to_coast_km
46.445,-129.139,16.4997,87.68973214,0.451506823,9.265249252,19.2621948,-2687.205322,357.4333125
46.476,-129.001,100.3428,533.2844388,0.450494915,9.248571396,19.2621948,-2684.469238,351.4533125
46.507,-128.863,106.2639,564.7528699,0.448506594,9.217834473,103.1090389,-2730.939453,340.9802188
46.537,-128.725,100.0593,531.7777423,0.447189718,9.18880558,103.1090389,-2763.318359,330.2091875
46.567,-128.586,112.7844,599.4068878,0.445573956,9.161437035,103.1090389,-2748.743408,319.7612188
46.598,-128.448,112.7844,599.4068878,0.443759263,9.135357857,103.1090389,-2732.613037,309.2109063
46.628,-128.309,112.7844,599.4068878,0.442011297,9.106456757,103.1090389,-2764.91333,298.6455
46.658,-128.17,112.7844,599.4068878,0.440405637,9.076916695,103.1090389,-2751.835938,288.0633438
46.688,-128.031,112.7844,599.4068878,0.438399076,9.042402267,103.1090389,-2757.563965,277.4625
46.717,-127.892,99.1683,527.0424107,0.436454922,9.01120472,103.1090389,-2740.052979,267.0675313
46.747,-127.753,112.7844,599.4068878,0.434203506,8.976455688,103.1090389,-2726.344971,256.2343906
46.777,-127.613,112.7844,599.4068878,0.432142943,8.944080353,103.1090389,-2711.048096,245.6204219
46.806,-127.474,112.7844,599.4068878,0.42992571,8.915985107,103.1090389,-2680.723877,235.0069844
46.835,-127.334,107.0982,569.1868622,0.427443504,8.882849693,103.1090389,-2676.007324,224.6094219
46.864,-127.194,89.7966,477.2353316,0.425271511,8.849945068,103.1090389,-2656.876709,213.5283594
46.893,-127.054,106.7742,567.4649235,0.423145831,8.815462112,103.1090389,-2641.050781,202.9893594
46.922,-126.914,112.7844,599.4068878,0.420877397,8.78231144,103.1090389,-2620.701904,192.5605313
46.951,-126.774,101.9142,541.6358418,0.418153703,8.748400688,103.1090389,-2599.26123,182.3188594
